epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5311,1.70801,3.06052,2.39472,0.20167,0.42696,0.22559,0.15311,1.81231,2.46322,1.94264,0.00051677,0.00051677,0.00051677
2,157.041,1.68227,2.39866,2.24654,0.24224,0.62154,0.17043,0.07841,1.56521,2.85938,1.72591,0.00102942,0.00102942,0.00102942
3,216.787,1.54423,1.91547,1.97931,0.17519,0.70649,0.18998,0.08721,1.58917,3.40055,1.8178,0.00152094,0.00152094,0.00152094
4,274.596,1.39619,1.68529,1.85458,0.85653,0.38036,0.51054,0.34995,1.67164,2.20267,1.98031,0.00156798,0.00156798,0.00156798
5,330.489,1.4383,1.54812,1.83323,0.6144,0.65147,0.64755,0.44481,1.52518,2.09787,1.74045,0.00153497,0.00153497,0.00153497
6,387.53,1.35364,1.49642,1.93069,0.71821,0.708,0.73267,0.49979,1.39923,1.61911,1.63021,0.00150197,0.00150197,0.00150197
7,432.21,1.40353,1.50562,1.84934,0.70289,0.76533,0.77253,0.52885,1.32718,1.40628,1.57913,0.00146896,0.00146896,0.00146896
8,448.985,1.39529,1.39848,1.86551,0.7426,0.77852,0.8078,0.549,1.37559,1.25389,1.6949,0.00143595,0.00143595,0.00143595
9,464.025,1.39787,1.30808,1.93806,0.73851,0.78188,0.81659,0.57839,1.343,1.23479,1.73153,0.00140295,0.00140295,0.00140295
10,478.216,1.29758,1.30786,1.96424,0.79696,0.77358,0.80605,0.56582,1.40798,1.21544,1.80076,0.00136994,0.00136994,0.00136994
11,493.151,1.4427,1.31186,2.01025,0.80186,0.78339,0.81729,0.56807,1.38681,1.1924,1.78664,0.00133693,0.00133693,0.00133693
12,507.803,1.42482,1.31967,2.02997,0.78823,0.77717,0.80853,0.55411,1.36847,1.15059,1.75604,0.00130393,0.00130393,0.00130393
13,521.918,1.36666,1.29625,2.05689,0.78059,0.74856,0.78267,0.52133,1.34773,1.14101,1.71689,0.00127092,0.00127092,0.00127092
14,536.343,1.35564,1.2296,1.84855,0.7713,0.77205,0.78886,0.52644,1.33856,1.12023,1.7086,0.00123791,0.00123791,0.00123791
15,551.959,1.3,1.17764,1.92911,0.77457,0.73135,0.77818,0.53379,1.30238,1.10667,1.70381,0.00120491,0.00120491,0.00120491
16,567.53,1.29981,1.28564,1.89105,0.82697,0.69533,0.8018,0.55077,1.28482,1.0886,1.71897,0.0011719,0.0011719,0.0011719
17,581.504,1.29227,1.12104,1.95075,0.81116,0.68603,0.78277,0.53781,1.3216,1.13444,1.75504,0.00113889,0.00113889,0.00113889
18,596.971,1.20137,1.0788,1.84443,0.85582,0.69401,0.78771,0.54155,1.34694,1.15148,1.77209,0.00110589,0.00110589,0.00110589
19,610.273,1.34501,1.18125,1.90319,0.83977,0.7243,0.77798,0.54356,1.33278,1.19659,1.74463,0.00107288,0.00107288,0.00107288
20,625.633,1.28347,1.06723,1.81032,0.82923,0.75585,0.79748,0.56178,1.31044,1.12184,1.73316,0.00103987,0.00103987,0.00103987
21,639.214,1.21757,0.97037,1.695,0.84791,0.7477,0.80465,0.57052,1.30441,1.05434,1.7365,0.00100687,0.00100687,0.00100687
22,654.781,1.25117,0.98103,1.80602,0.81119,0.74434,0.80113,0.57573,1.29354,1.01115,1.73899,0.000973861,0.000973861,0.000973861
23,669.403,1.20941,1.04599,1.8901,0.82659,0.71337,0.77882,0.54588,1.29997,1.04583,1.75202,0.000940855,0.000940855,0.000940855
24,684.652,1.23444,1.0089,1.86906,0.82005,0.73686,0.79481,0.55867,1.31122,1.04223,1.77024,0.000907848,0.000907848,0.000907848
25,699.271,1.21902,0.99143,1.76923,0.81902,0.77119,0.81201,0.57501,1.30525,1.01854,1.75701,0.000874842,0.000874842,0.000874842
26,714.586,1.18427,0.92605,1.79495,0.85343,0.76783,0.83017,0.5801,1.31318,0.99952,1.75309,0.000841835,0.000841835,0.000841835
